106 1728
19 33 34480
9 77 66460
1 50 49055
27 59 68995
5 25 13558
79 95 63663
43 103 35619
60 79 5878
13 102 78349
90 103 65969
33 82 5872
74 103 2660
12 55 45107
15 35 50335
63 73 94539
71 89 24890
6 67 41970
42 47 83033
59 65 86785
80 82 63911
16 51 94660
55 69 67059
32 46 62669
21 34 80383
61 98 93593
49 60 93744
39 44 25367
78 104 1144
8 59 96321
89 104 9932
63 84 79632
15 19 5330
103 104 86966
21 94 75477
34 46 50027
51 75 98769
15 95 46020
59 67 99167
72 74 29393
31 96 764
70 72 93665
50 61 71996
33 62 40400
30 45 62438
28 35 54822
69 105 59850
99 100 123
73 106 69923
101 103 34170
14 104 99462
3 41 86500
71 86 29986
37 71 61705
2 48 49558
66 76 48730
73 80 70456
67 81 73825
48 69 86532
68 82 80996
18 84 40045
64 77 74466
10 93 2731
45 86 60025
84 105 1891
75 76 89327
53 71 58030
12 28 38442
58 103 8079
66 105 72308
97 105 48498
35 42 37272
30 82 1937
36 85 67479
89 94 2283
9 54 81336
23 102 15597
92 101 30306
66 92 97414
32 49 56932
34 75 15030
40 49 22019
11 93 20191
12 74 24699
19 81 27288
98 104 20605
45 85 33860
21 82 23632
39 97 25615
63 85 63003
72 77 34215
40 59 69441
23 27 94992
52 66 22573
86 96 72402
101 105 32521
70 105 73900
11 72 62315
9 36 70629
11 100 65576
54 61 93975
38 73 57671
45 84 70887
7 77 71198
103 106 53718
50 62 41975
19 36 43815
99 102 47035
1 93 21157
49 50 5217
6 81 47469
14 50 13295
88 98 21585
36 44 38123
41 70 95077
39 62 87874
62 94 12412
101 102 32409
91 95 23644
7 59 57118
56 82 56854
16 39 55094
19 61 3237
77 102 66446
45 78 82903
61 101 49454
50 59 73548
60 85 40692
15 24 23022
91 97 60724
29 62 2806
6 39 95973
78 97 79509
55 64 17626
45 92 65246
58 75 52613
11 14 18561
78 92 28034
81 106 90015
28 99 19620
13 48 43064
36 88 4784
2 95 98319
56 72 16375
20 79 56319
56 101 90812
47 77 76416
20 46 31744
5 72 46287
12 81 5726
44 52 78678
11 44 83877
24 73 58973
88 93 29058
85 95 84715
74 92 52747
55 105 29245
54 68 19528
94 106 50747
26 41 91799
84 90 13443
52 82 50509
9 82 89599
44 85 90223
27 100 70542
52 68 78877
25 83 11434
78 106 14924
50 79 10208
93 100 45826
77 98 79390
53 67 14456
91 106 67618
19 87 82980
78 103 51960
13 46 69198
62 80 36594
41 48 86150
28 85 53282
78 100 87587
27 47 96331
51 71 34685
79 93 38536
62 89 90404
38 50 61780
42 49 93787
17 71 95856
38 105 78845
64 82 47443
4 89 20859
36 53 32419
59 64 11621
81 88 76593
58 78 65010
67 90 86354
90 96 73972
70 82 71858
2 17 92002
92 103 70204
86 100 70153
34 84 63597
11 66 32514
19 80 55351
55 75 51906
101 104 10265
49 76 65194
46 57 79194
86 93 24047
49 93 17502
70 77 54429
75 77 54837
18 26 93710
87 98 51183
97 99 4623
43 59 70726
80 84 25288
70 94 72486
29 77 84652
19 23 44348
48 52 86608
53 86 68600
63 83 67834
64 88 47384
18 106 53645
105 106 97064
27 62 44761
3 104 36240
25 97 59989
30 39 77760
30 72 72603
27 29 37153
44 67 86486
28 94 31578
34 92 94442
38 77 43040
76 88 9890
31 88 33
76 102 32690
26 84 2463
41 64 13492
2 64 15922
93 96 45440
4 82 86110
98 100 81057
3 5 23596
43 85 58013
104 106 5118
32 58 11175
4 100 75302
6 10 89162
7 54 97008
46 102 20248
17 43 35159
11 90 49410
64 74 56778
30 105 92903
80 94 11429
41 53 95689
79 89 81532
78 79 38324
29 43 83399
56 99 72692
23 34 48253
7 83 49681
1 73 84411
28 31 51354
82 83 15148
62 86 81363
25 60 89998
79 83 88588
98 99 5780
63 76 128
46 96 29801
98 105 92094
